Customer ID,Sales,Purchase_Frequency,Cluster,Customer_Segment
AA-10315,5563.56,11,2,High-Value
AA-10375,1056.39,15,0,Loyal
AA-10480,1790.5120000000002,12,0,Loyal
AA-10645,5086.9349999999995,18,2,High-Value
AB-10015,886.156,6,0,Loyal
AB-10060,7755.62,18,1,Occasional
AB-10105,14473.570999999998,20,1,Occasional
AB-10150,966.71,12,0,Loyal
AB-10165,1113.838,14,0,Loyal
AB-10255,914.5319999999999,14,0,Loyal
AB-10600,1515.862,8,0,Loyal
AC-10420,925.8,5,0,Loyal
AC-10450,5527.846,9,2,High-Value
AC-10615,2537.6859999999997,18,0,Loyal
AC-10660,657.316,6,0,Loyal
AD-10180,6106.88,12,2,High-Value
AF-10870,2052.908,16,0,Loyal
AF-10885,861.565,7,0,Loyal
AG-10270,2582.898,14,0,Loyal
AG-10300,367.548,5,0,Loyal
AG-10330,660.972,9,0,Loyal
AG-10390,200.945,8,0,Loyal
AG-10495,2356.855,21,0,Loyal
AG-10525,1455.038,9,0,Loyal
AG-10675,3489.0396000000005,15,2,High-Value
AG-10765,170.584,5,0,Loyal
AG-10900,4510.797,21,2,High-Value
AH-10030,1744.7,11,0,Loyal
AH-10075,3250.337,20,2,High-Value
AH-10120,1735.5140000000001,16,0,Loyal
AH-10195,1587.452,8,0,Loyal
AH-10210,4805.344,13,2,High-Value
AH-10465,2495.3916,8,0,Loyal
AH-10585,738.504,5,0,Loyal
AH-10690,7888.294,23,1,Occasional
AI-10855,4375.786,18,2,High-Value
AJ-10780,4867.344,15,2,High-Value
AJ-10795,4501.391,21,2,High-Value
AJ-10945,1839.24,10,0,Loyal
AJ-10960,629.2479999999999,5,0,Loyal
AM-10360,814.012,12,0,Loyal
AM-10705,5664.022,22,2,High-Value
AO-10810,161.28,1,0,Loyal
AP-10720,1638.554,19,0,Loyal
AP-10915,3323.556,31,2,High-Value
AR-10345,1055.694,5,0,Loyal
AR-10405,2236.128,7,0,Loyal
AR-10510,264.86400000000003,7,0,Loyal
AR-10540,6608.448,9,2,High-Value
AR-10570,88.15,2,0,Loyal
AR-10825,4523.336,13,2,High-Value
AS-10045,3050.692,10,2,High-Value
AS-10090,3255.31,25,2,High-Value
AS-10135,58.82,3,0,Loyal
AS-10225,4260.784,13,2,High-Value
AS-10240,584.6080000000001,13,0,Loyal
AS-10285,3214.236,8,2,High-Value
AS-10630,833.398,12,0,Loyal
AT-10435,1171.814,9,0,Loyal
AT-10735,3831.864,16,2,High-Value
AW-10840,649.376,8,0,Loyal
AW-10930,2852.968,16,0,Loyal
AY-10555,497.014,10,0,Loyal
AZ-10750,1622.0179999999998,12,0,Loyal
BB-10990,744.3399999999999,8,0,Loyal
BB-11545,6765.728,20,2,High-Value
BC-11125,2933.676,18,0,Loyal
BD-11320,5718.521,19,2,High-Value
BD-11500,4411.2429999999995,10,2,High-Value
BD-11560,320.54,4,0,Loyal
BD-11605,3288.471,20,2,High-Value
BD-11620,1538.11,8,0,Loyal
BD-11635,582.646,5,0,Loyal
BD-11725,1526.5,10,0,Loyal
BD-11770,658.466,10,0,Loyal
BE-11335,4204.676,9,2,High-Value
BE-11410,2261.438,5,0,Loyal
BE-11455,1727.652,13,0,Loyal
BF-10975,599.798,13,0,Loyal
BF-11005,1333.88,10,0,Loyal
BF-11020,2888.506,21,0,Loyal
BF-11080,272.95,6,0,Loyal
BF-11170,5907.972,27,2,High-Value
BF-11215,1585.162,8,0,Loyal
BF-11275,791.9899999999999,4,0,Loyal
BG-11035,2798.948,12,0,Loyal
BG-11695,1874.172,8,0,Loyal
BG-11740,1006.356,7,0,Loyal
BH-11710,6255.351,24,2,High-Value
BK-11260,659.1379999999999,16,0,Loyal
BM-11140,11789.63,16,1,Occasional
BM-11575,808.162,10,0,Loyal
BM-11650,7294.185,29,2,High-Value
BM-11785,1338.842,14,0,Loyal
BN-11470,265.296,6,0,Loyal
BN-11515,1459.344,17,0,Loyal
BO-11350,2682.728,12,0,Loyal
BO-11425,130.83,2,0,Loyal
BP-11050,983.42,7,0,Loyal
BP-11095,2442.044,20,0,Loyal
BP-11155,1697.8609999999999,11,0,Loyal
BP-11185,3675.861,18,2,High-Value
BP-11230,1181.49,6,0,Loyal
BP-11290,2475.157,16,0,Loyal
BS-11365,10501.653,9,1,Occasional
BS-11380,3887.834,13,2,High-Value
BS-11590,2454.928,10,0,Loyal
BS-11665,3288.1099999999997,11,2,High-Value
BS-11755,2562.382,14,0,Loyal
BS-11800,949.4300000000001,8,0,Loyal
BT-11305,2567.656,9,0,Loyal
BT-11395,2186.6130000000003,10,0,Loyal
BT-11440,603.876,7,0,Loyal
BT-11485,415.19599999999997,3,0,Loyal
BT-11530,2684.4919999999997,10,0,Loyal
BT-11680,3196.752,20,2,High-Value
BV-11245,1523.2730000000001,14,0,Loyal
BW-11065,385.516,3,0,Loyal
BW-11110,4750.358,17,2,High-Value
BW-11200,1738.406,10,0,Loyal
CA-11965,3789.7228,10,2,High-Value
CA-12055,1679.7240000000002,10,0,Loyal
CA-12265,2648.2872,17,0,Loyal
CA-12310,1421.954,11,0,Loyal
CA-12775,3041.566,17,2,High-Value
CB-12025,6076.139,26,2,High-Value
CB-12415,1949.2,12,0,Loyal
CB-12535,4246.4555,19,2,High-Value
CC-12100,1770.945,13,0,Loyal
CC-12145,2471.65,11,0,Loyal
CC-12220,3913.418,22,2,High-Value
CC-12370,12129.072000000002,11,1,Occasional
CC-12430,2870.05,19,0,Loyal
CC-12475,1659.438,13,0,Loyal
CC-12550,113.832,4,0,Loyal
CC-12610,2540.631,12,0,Loyal
CC-12670,2269.7015,14,0,Loyal
CC-12685,2854.1150000000002,12,0,Loyal
CD-11920,2033.968,9,0,Loyal
CD-11980,639.766,6,0,Loyal
CD-12280,1205.584,13,0,Loyal
CD-12790,1860.732,15,0,Loyal
CG-12040,904.4680000000001,9,0,Loyal
CG-12520,1148.7800000000002,5,0,Loyal
CH-12070,1537.236,4,0,Loyal
CJ-11875,16.52,1,0,Loyal
CJ-12010,11164.974,20,1,Occasional
CK-12205,3154.855,32,2,High-Value
CK-12325,2945.321,12,2,High-Value
CK-12595,2372.75,25,0,Loyal
CK-12760,1582.109,14,0,Loyal
CL-11890,1262.0140000000001,7,0,Loyal
CL-12565,10880.546,28,1,Occasional
CL-12700,2353.586,8,0,Loyal
CM-11815,1673.888,10,0,Loyal
CM-11935,565.392,4,0,Loyal
CM-12115,1661.6100000000001,7,0,Loyal
CM-12160,2533.314,7,0,Loyal
CM-12190,1475.144,7,0,Loyal
CM-12235,2305.712,8,0,Loyal
CM-12385,8954.019999999999,10,1,Occasional
CM-12445,287.99,9,0,Loyal
CM-12655,6339.5576,10,2,High-Value
CM-12715,3984.4524,13,2,High-Value
CP-12085,5402.254,14,2,High-Value
CP-12340,5888.275,15,2,High-Value
CR-12580,2148.852,6,0,Loyal
CR-12625,475.9,4,0,Loyal
CR-12730,1600.55,6,0,Loyal
CR-12820,1397.8724,7,0,Loyal
CS-11845,1278.954,8,0,Loyal
CS-11860,537.632,7,0,Loyal
CS-11950,3036.547,22,2,High-Value
CS-12130,884.64,7,0,Loyal
CS-12175,844.4580000000001,8,0,Loyal
CS-12250,2754.216,28,0,Loyal
CS-12355,3202.1620000000003,22,2,High-Value
CS-12400,3651.8585000000003,14,2,High-Value
CS-12460,550.644,6,0,Loyal
CS-12490,1077.2285,9,0,Loyal
CS-12505,5690.054999999999,9,2,High-Value
CT-11995,3241.898,18,2,High-Value
CV-12295,2830.6279999999997,13,0,Loyal
CV-12805,2370.3136,19,0,Loyal
CW-11905,1136.592,11,0,Loyal
CY-12745,2900.026,11,0,Loyal
Co-12640,1300.076,8,0,Loyal
DA-13450,156.76,8,0,Loyal
DB-12910,2171.599,12,0,Loyal
DB-12970,2839.2272,14,0,Loyal
DB-13060,4531.646,13,2,High-Value
DB-13120,2973.094,14,2,High-Value
DB-13210,2332.577,21,0,Loyal
DB-13270,4655.897,13,2,High-Value
DB-13360,1081.466,6,0,Loyal
DB-13405,1711.692,14,0,Loyal
DB-13555,3908.8028,14,2,High-Value
DB-13615,1989.05,11,0,Loyal
DB-13660,1155.202,10,0,Loyal
DC-12850,3336.168,18,2,High-Value
DC-13285,1174.618,7,0,Loyal
DD-13570,269.542,9,0,Loyal
DE-13255,2550.874,9,0,Loyal
DF-13135,2390.534,6,0,Loyal
DG-13300,3195.818,8,2,High-Value
DH-13075,4932.872,23,2,High-Value
DH-13675,1043.096,11,0,Loyal
DJ-13420,2012.52,5,0,Loyal
DJ-13510,2501.6879999999996,13,0,Loyal
DJ-13630,3356.398,8,2,High-Value
DK-12835,3256.48,27,2,High-Value
DK-12895,4282.176,15,2,High-Value
DK-12985,1687.04,8,0,Loyal
DK-13090,2650.557,13,0,Loyal
DK-13150,797.832,5,0,Loyal
DK-13225,4802.394,19,2,High-Value
DK-13375,3318.486,23,2,High-Value
DL-12865,1503.112,14,0,Loyal
DL-12925,3272.2,14,2,High-Value
DL-13315,1458.258,17,0,Loyal
DL-13330,585.02,8,0,Loyal
DL-13495,3539.322,12,2,High-Value
DM-12955,1322.034,9,0,Loyal
DM-13015,6345.103,20,2,High-Value
DM-13345,4074.4719999999998,13,2,High-Value
DM-13525,1376.792,10,0,Loyal
DN-13690,2139.79,11,0,Loyal
DO-13435,1300.0315,13,0,Loyal
DO-13645,1267.316,11,0,Loyal
DP-13000,1050.636,17,0,Loyal
DP-13105,2215.002,14,0,Loyal
DP-13165,1058.616,4,0,Loyal
DP-13390,5480.723999999999,14,2,High-Value
DR-12880,6528.034000000001,24,2,High-Value
DR-12940,8350.868,13,1,Occasional
DS-13030,1762.213,19,0,Loyal
DS-13180,2881.8128,20,0,Loyal
DV-13045,1119.483,9,0,Loyal
DV-13465,3341.587,15,2,High-Value
DW-13195,1080.751,9,0,Loyal
DW-13480,5271.628,11,2,High-Value
DW-13540,344.08,9,0,Loyal
DW-13585,1204.854,10,0,Loyal
Dl-13600,755.602,6,0,Loyal
Dp-13240,7198.7609999999995,29,2,High-Value
EA-14035,2846.705,25,0,Loyal
EB-13705,3644.978,12,2,High-Value
EB-13750,3236.314,20,2,High-Value
EB-13840,4358.128,8,2,High-Value
EB-13870,2767.219,11,0,Loyal
EB-13930,944.6000000000001,7,0,Loyal
EB-13975,1643.255,6,0,Loyal
EB-14110,3071.126,11,2,High-Value
EB-14170,1186.326,7,0,Loyal
EC-14050,461.914,7,0,Loyal
ED-13885,3484.92,14,2,High-Value
EG-13900,1832.02,9,0,Loyal
EH-13765,10310.880000000001,32,1,Occasional
EH-13945,684.1709999999999,17,0,Loyal
EH-13990,825.9499999999999,8,0,Loyal
EH-14005,1219.53,11,0,Loyal
EH-14125,3082.653,18,2,High-Value
EH-14185,923.884,8,0,Loyal
EJ-13720,2162.174,8,0,Loyal
EJ-14155,2656.691,8,0,Loyal
EK-13795,1303.478,4,0,Loyal
EL-13735,124.28,2,0,Loyal
EM-13810,2567.0099999999998,7,0,Loyal
EM-13825,2339.598,16,0,Loyal
EM-13960,933.704,6,0,Loyal
EM-14065,228.99,6,0,Loyal
EM-14095,1041.0420000000001,10,0,Loyal
EM-14140,4588.436000000001,21,2,High-Value
EM-14200,366.822,4,0,Loyal
EN-13780,2199.366,9,0,Loyal
EP-13915,5478.0608,31,2,High-Value
ER-13855,1245.788,5,0,Loyal
ES-14020,3510.4579999999996,8,2,High-Value
ES-14080,4657.924,20,2,High-Value
FA-14230,2984.054,17,2,High-Value
FC-14245,3418.742,14,2,High-Value
FC-14335,3889.366,10,2,High-Value
FG-14260,1383.144,11,0,Loyal
FH-14275,4256.272,21,2,High-Value
FH-14350,2271.284,14,0,Loyal
FH-14365,6987.196,13,2,High-Value
FM-14215,2456.638,15,0,Loyal
FM-14290,3736.198,20,2,High-Value
FM-14380,2523.266,14,0,Loyal
FO-14305,2678.438,15,0,Loyal
FP-14320,4046.746,14,2,High-Value
FW-14395,79.75,3,0,Loyal
GA-14515,3919.7760000000003,14,2,High-Value
GA-14725,1398.382,22,0,Loyal
GB-14530,1568.44,20,0,Loyal
GB-14575,4716.288,16,2,High-Value
GD-14590,1888.07,6,0,Loyal
GG-14650,2224.0,24,0,Loyal
GH-14410,2819.4669999999996,17,0,Loyal
GH-14425,4172.8460000000005,10,2,High-Value
GH-14485,1361.2440000000001,3,0,Loyal
GH-14665,146.94080000000002,3,0,Loyal
GK-14620,6497.27,14,2,High-Value
GM-14440,3582.8199999999997,11,2,High-Value
GM-14455,3078.624,12,2,High-Value
GM-14500,1255.682,13,0,Loyal
GM-14680,3163.628,11,2,High-Value
GM-14695,6049.966,11,2,High-Value
GP-14740,236.53,5,0,Loyal
GR-14560,1284.38,5,0,Loyal
GT-14635,9351.212,6,1,Occasional
GT-14710,11820.119999999999,29,1,Occasional
GT-14755,226.436,7,0,Loyal
GW-14605,2189.019,9,0,Loyal
GZ-14470,4355.150000000001,14,2,High-Value
GZ-14545,2454.6220000000003,5,0,Loyal
HA-14905,2163.3,10,0,Loyal
HA-14920,2584.158,18,0,Loyal
HD-14785,251.36,7,0,Loyal
HE-14800,883.5319999999999,11,0,Loyal
HF-14995,2533.1639999999998,19,0,Loyal
HG-14845,785.628,10,0,Loyal
HG-14965,3247.642,17,2,High-Value
HG-15025,3690.284,11,2,High-Value
HH-15010,218.668,6,0,Loyal
HJ-14875,358.1,6,0,Loyal
HK-14890,4877.784,15,2,High-Value
HL-15040,12873.297999999999,11,1,Occasional
HM-14860,8236.7648,20,1,Occasional
HM-14980,736.276,7,0,Loyal
HP-14815,1990.314,10,0,Loyal
HR-14770,1299.288,13,0,Loyal
HR-14830,5248.787,14,2,High-Value
HW-14935,9300.254,20,1,Occasional
HZ-14950,886.52,6,0,Loyal
IG-15085,744.574,7,0,Loyal
IL-15100,5040.736,14,2,High-Value
IM-15055,2872.63,4,0,Loyal
IM-15070,4930.474,21,2,High-Value
JA-15970,6491.026,24,2,High-Value
JB-15400,1791.605,16,0,Loyal
JB-15925,900.552,8,0,Loyal
JB-16000,644.1188,7,0,Loyal
JB-16045,2518.115,9,0,Loyal
JC-15340,71.263,4,0,Loyal
JC-15385,1058.108,4,0,Loyal
JC-15775,2772.055,16,0,Loyal
JC-16105,858.576,9,0,Loyal
JD-15790,2152.352,7,0,Loyal
JD-15895,7610.8640000000005,32,1,Occasional
JD-16015,385.43,11,0,Loyal
JD-16060,695.442,6,0,Loyal
JD-16150,8828.0305,17,1,Occasional
JE-15475,1388.682,13,0,Loyal
JE-15610,7754.976,20,1,Occasional
JE-15715,8697.842999999999,22,1,Occasional
JE-15745,6760.8150000000005,23,2,High-Value
JE-16165,2697.248,7,0,Loyal
JF-15190,2279.5860000000002,19,0,Loyal
JF-15295,955.124,14,0,Loyal
JF-15355,1911.844,16,0,Loyal
JF-15415,2371.448,14,0,Loyal
JF-15490,1082.918,15,0,Loyal
JF-15565,4198.332,16,2,High-Value
JG-15115,2358.676,7,0,Loyal
JG-15160,6366.392,18,2,High-Value
JG-15310,2240.58,11,0,Loyal
JG-15805,1507.018,9,0,Loyal
JH-15430,309.281,7,0,Loyal
JH-15820,528.91,8,0,Loyal
JH-15910,959.477,9,0,Loyal
JH-15985,7954.9980000000005,14,1,Occasional
JH-16180,2256.3940000000002,5,0,Loyal
JJ-15445,709.178,6,0,Loyal
JJ-15760,195.0,3,0,Loyal
JK-15205,4427.142,13,2,High-Value
JK-15325,383.812,4,0,Loyal
JK-15370,2709.632,17,0,Loyal
JK-15625,3760.028,12,2,High-Value
JK-15640,4760.434,12,2,High-Value
JK-15730,4867.2,20,2,High-Value
JK-16090,3747.668,9,2,High-Value
JK-16120,2932.484,17,0,Loyal
JL-15130,1214.956,12,0,Loyal
JL-15175,1571.523,7,0,Loyal
JL-15235,2203.7,10,0,Loyal
JL-15505,3173.874,17,2,High-Value
JL-15835,9799.923,34,1,Occasional
JL-15850,2725.256,11,0,Loyal
JM-15250,3159.1220000000003,19,2,High-Value
JM-15265,1804.146,13,0,Loyal
JM-15535,1733.443,10,0,Loyal
JM-15580,303.948,7,0,Loyal
JM-15655,864.947,12,0,Loyal
JM-15865,7625.076000000001,13,1,Occasional
JM-16195,2833.9260000000004,19,0,Loyal
JO-15145,3254.949,13,2,High-Value
JO-15280,1934.272,11,0,Loyal
JO-15550,1090.838,11,0,Loyal
JP-15460,1669.135,15,0,Loyal
JP-15520,3635.594,16,2,High-Value
JP-16135,1707.71,13,0,Loyal
JR-15670,1156.658,3,0,Loyal
JR-15700,863.88,1,0,Loyal
JR-16210,2201.686,10,0,Loyal
JS-15595,1417.654,8,0,Loyal
JS-15685,1131.0639999999999,11,0,Loyal
JS-15880,3868.02,9,2,High-Value
JS-15940,469.169,8,0,Loyal
JS-16030,2516.494,18,0,Loyal
JW-15220,7721.714,14,1,Occasional
JW-15955,1244.086,11,0,Loyal
JW-16075,1428.731,7,0,Loyal
KA-16525,1519.506,11,0,Loyal
KB-16240,3152.6150000000002,10,2,High-Value
KB-16315,1569.464,22,0,Loyal
KB-16405,908.821,9,0,Loyal
KB-16585,2744.742,23,0,Loyal
KB-16600,983.922,9,0,Loyal
KC-16255,2120.954,10,0,Loyal
KC-16540,3908.262,5,2,High-Value
KC-16675,1146.05,7,0,Loyal
KD-16270,8282.358,16,1,Occasional
KD-16345,1888.964,10,0,Loyal
KD-16495,8181.256,28,1,Occasional
KD-16615,2243.5099999999998,13,0,Loyal
KE-16420,1686.7312,15,0,Loyal
KF-16285,10604.266,18,1,Occasional
KH-16330,3312.864,18,2,High-Value
KH-16360,3100.612,14,2,High-Value
KH-16510,5952.859,23,2,High-Value
KH-16630,3918.9660000000003,17,2,High-Value
KH-16690,5990.799,15,2,High-Value
KL-16555,5016.488,22,2,High-Value
KL-16645,14175.229000000001,29,1,Occasional
KM-16225,2260.958,19,0,Loyal
KM-16375,5620.186,20,2,High-Value
KM-16660,453.538,9,0,Loyal
KM-16720,4909.472,28,2,High-Value
KN-16390,2617.272,17,0,Loyal
KN-16450,2171.962,8,0,Loyal
KN-16705,2280.58,15,0,Loyal
KS-16300,88.472,4,0,Loyal
KT-16465,3057.1,14,2,High-Value
KT-16480,4642.088400000001,13,2,High-Value
KW-16435,4416.5199999999995,10,2,High-Value
KW-16570,449.096,5,0,Loyal
LA-16780,8673.222,26,1,Occasional
LB-16735,50.188,3,0,Loyal
LB-16795,4985.676,24,2,High-Value
LC-16870,2580.7039999999997,30,0,Loyal
LC-16885,7663.126,23,1,Occasional
LC-16930,4492.946,14,2,High-Value
LC-16960,3246.626,7,2,High-Value
LC-17050,2095.064,9,0,Loyal
LC-17140,2633.582,19,0,Loyal
LD-16855,5.304,1,0,Loyal
LD-17005,1961.934,7,0,Loyal
LE-16810,1469.45,9,0,Loyal
LF-17185,3930.5089999999996,16,2,High-Value
LH-16750,287.426,3,0,Loyal
LH-16900,2295.332,15,0,Loyal
LH-17020,318.239,6,0,Loyal
LH-17155,1739.689,19,0,Loyal
LL-16840,2741.2039999999997,12,0,Loyal
LM-17065,1346.774,7,0,Loyal
LO-17170,644.35,9,0,Loyal
LP-17080,756.606,9,0,Loyal
LP-17095,3653.399,15,2,High-Value
LR-16915,5142.892,16,2,High-Value
LR-17035,1879.306,12,0,Loyal
LS-16945,2845.27,14,0,Loyal
LS-16975,2988.674,22,2,High-Value
LS-17200,1010.2560000000001,14,0,Loyal
LS-17230,368.88000000000005,6,0,Loyal
LS-17245,1008.1360000000001,12,0,Loyal
LT-16765,329.876,3,0,Loyal
LT-17110,2936.252,14,0,Loyal
LW-16825,2238.061,15,0,Loyal
LW-16990,3230.308,11,2,High-Value
LW-17125,1259.04,5,0,Loyal
LW-17215,5420.514,15,2,High-Value
MA-17560,4299.161,34,2,High-Value
MA-17995,2453.284,12,0,Loyal
MB-17305,1548.702,19,0,Loyal
MB-18085,1428.231,10,0,Loyal
MC-17275,2725.982,13,0,Loyal
MC-17425,4432.138,10,2,High-Value
MC-17575,1303.893,11,0,Loyal
MC-17590,2426.067,17,0,Loyal
MC-17605,2258.192,18,0,Loyal
MC-17635,795.154,8,0,Loyal
